title,artist,genre,year,bpm,energy,danceability,loudness,liveness,valence,duration,acousticness,speechiness,popularity
My House,Flo Rida,dance pop,2015,94,70,69,-5,13,74,192,3,5,77
Waves - Robin Schulz Radio Edit,Mr. Probz,tropical house,2015,120,51,83,-9,8,45,208,2,4,77
Night Changes,One Direction,boy band,2015,120,52,67,-8,12,37,227,87,4,77
How Deep Is Your Love,Calvin Harris,dance pop,2015,122,87,74,-4,39,34,213,5,7,77
Never Forget You,Zara Larsson,dance pop,2015,146,73,58,-6,27,28,213,1,5,77
Love Me Harder,Ariana Grande,dance pop,2015,99,71,47,-4,8,24,236,2,3,76
Animals,Maroon 5,pop,2015,190,74,28,-6,59,33,231,1,9,76
Blame,Calvin Harris,dance pop,2015,128,86,41,-4,34,35,213,4,8,76
Worth It,Fifth Harmony,dance pop,2015,100,77,88,-4,12,59,225,7,9,75
Break Free,Ariana Grande,dance pop,2015,130,70,69,-5,20,28,215,2,5,75
Don't,Ed Sheeran,pop,2015,95,61,81,-7,64,85,220,2,7,74
Elastic Heart,Sia,australian dance,2015,130,79,42,-5,15,50,257,2,5,73
Rather Be (feat. Jess Glynne),Clean Bandit,dance pop,2015,121,59,80,-7,19,55,228,17,4,73
Hello,Adele,british soul,2015,158,45,48,-6,9,29,295,35,3,73
Dear Future Husband,Meghan Trainor,dance pop,2015,79,78,66,-5,32,83,184,39,19,72
43776,Beyoncé,dance pop,2015,136,71,75,-5,13,56,214,2,13,72
The Hills,The Weeknd,canadian contemporary r&b,2016,113,56,58,-7,14,14,242,8,5,84
Love Yourself,Justin Bieber,canadian pop,2016,100,38,61,-10,28,52,234,85,44,83
Cake By The Ocean,DNCE,dance pop,2016,119,75,77,-5,4,90,219,16,5,81
Don't Let Me Down,The Chainsmokers,electropop,2016,160,87,53,-5,14,42,208,17,17,81
In the Name of Love,Martin Garrix,big room,2016,134,52,50,-6,45,17,196,12,4,81
Into You,Ariana Grande,dance pop,2016,108,73,62,-6,14,37,244,3,11,80
This Is What You Came For,Calvin Harris,dance pop,2016,124,93,63,-3,15,47,222,21,3,80
Million Reasons,Lady Gaga,dance pop,2016,130,42,67,-8,11,15,205,50,4,80
Needed Me,Rihanna,barbadian pop,2016,111,31,67,-8,8,30,192,12,24,80
7 Years,Lukas Graham,danish pop,2016,120,47,77,-6,39,34,237,30,5,80
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,dance pop,2016,113,83,67,-6,19,70,236,2,7,79
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,dance pop,2016,105,59,80,-6,6,59,214,11,4,79
Scars To Your Beautiful,Alessia Cara,canadian contemporary r&b,2016,97,74,57,-6,11,45,230,4,13,79
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,dance pop,2016,108,53,63,-7,18,42,225,41,4,79
Work,Rihanna,barbadian pop,2016,92,53,73,-6,9,56,219,9,9,78
Stitches,Shawn Mendes,canadian pop,2016,150,75,75,-7,5,76,207,3,7,78
"Me, Myself & I",G-Eazy,hip hop,2016,112,67,76,-7,16,38,251,3,10,78
